date,medicine,region,units_sold,marketing_spend,revenue
2021-01-01,DrugA,North,662,20992,96652
2021-01-02,DrugA,South,892,17072,64224
2021-01-03,DrugA,West,336,15203,21168
2021-01-04,DrugB,West,186,3609,12648
2021-01-05,DrugA,South,245,32198,21560
2021-01-06,DrugC,West,762,29124,102870
2021-01-07,DrugB,East,711,39815,102384
2021-01-08,DrugB,West,803,19427,115632
2021-01-09,DrugC,North,858,40526,100386
2021-01-10,DrugA,West,807,47331,103296
2021-01-11,DrugB,West,499,45289,52894
2021-01-12,DrugA,East,375,46833,18000
2021-01-13,DrugA,North,124,44401,11284
2021-01-14,DrugB,South,150,40393,14850
2021-01-15,DrugA,East,289,43053,18496
2021-01-16,DrugB,East,874,48937,94392
2021-01-17,DrugC,South,129,47956,18447
2021-01-18,DrugC,West,418,32461,43054
2021-01-19,DrugA,East,786,30229,116328
2021-01-20,DrugB,South,837,48491,36828
2021-01-21,DrugA,North,608,4693,82688
2021-01-22,DrugC,West,898,3011,54778
2021-01-23,DrugB,West,377,17050,12064
2021-01-24,DrugB,West,304,17787,22496
2021-01-25,DrugA,East,542,27737,73170
2021-01-26,DrugC,West,512,8358,59904
2021-01-27,DrugB,North,666,9595,91908
2021-01-28,DrugA,East,190,42273,19760
2021-01-29,DrugA,South,938,31416,111622
2021-01-30,DrugA,South,536,36235,51456
2021-01-31,DrugB,East,679,33338,78764
2021-02-01,DrugA,South,229,37923,16946
2021-02-02,DrugC,South,315,10664,42840
2021-02-03,DrugA,West,253,17246,12650
2021-02-04,DrugC,West,596,11575,30992
2021-02-05,DrugA,East,775,42748,58900
2021-02-06,DrugB,West,847,9437,53361
2021-02-07,DrugB,North,904,8422,75032
2021-02-08,DrugB,North,988,46078,136344
2021-02-09,DrugC,North,558,39828,69192
2021-02-10,DrugA,North,462,14998,50820
2021-02-11,DrugB,South,103,39246,8343
2021-02-12,DrugB,North,312,13243,30264
2021-02-13,DrugB,West,131,31183,14017
2021-02-14,DrugA,South,761,45543,76100
2021-02-15,DrugA,North,694,36927,78422
2021-02-16,DrugA,South,310,49468,23870
2021-02-17,DrugC,West,766,46684,65876
2021-02-18,DrugB,East,836,19762,40964
2021-02-19,DrugB,East,631,38017,74458
2021-02-20,DrugC,North,664,35212,47808
2021-02-21,DrugB,South,168,28051,12936
2021-02-22,DrugC,West,267,10964,27768
2021-02-23,DrugC,East,97,9363,11640
2021-02-24,DrugA,East,165,29716,17160
2021-02-25,DrugA,West,132,5756,14256
2021-02-26,DrugA,North,999,5387,69930
2021-02-27,DrugC,East,654,41604,54936
2021-02-28,DrugC,South,736,23310,82432
2021-03-01,DrugB,West,132,20629,19008
2021-03-02,DrugA,South,897,12505,68172
2021-03-03,DrugA,West,111,2358,15984
2021-03-04,DrugC,South,737,10873,24321
2021-03-05,DrugB,East,984,9039,113160
2021-03-06,DrugC,West,421,27543,26944
2021-03-07,DrugC,West,290,3580,14500
2021-03-08,DrugB,West,165,16609,22935
2021-03-09,DrugA,South,772,11491,35512
2021-03-10,DrugC,East,770,40644,104720
2021-03-11,DrugC,West,797,11741,110783
2021-03-12,DrugA,South,383,29314,19916
2021-03-13,DrugA,East,348,4500,34104
2021-03-14,DrugC,East,77,21910,3619
2021-03-15,DrugC,East,146,45172,20878
2021-03-16,DrugA,West,746,20854,42522
2021-03-17,DrugC,West,722,19720,44042
2021-03-18,DrugB,South,68,34660,7412
2021-03-19,DrugB,North,967,25692,77360
2021-03-20,DrugC,East,104,3773,12480
2021-03-21,DrugA,West,54,44765,6372
2021-03-22,DrugC,North,676,24415,47320
2021-03-23,DrugA,East,82,7730,4018
2021-03-24,DrugA,East,192,48834,28608
2021-03-25,DrugA,North,896,17536,34944
2021-03-26,DrugC,West,787,42478,84996
2021-03-27,DrugB,East,633,7078,56337
2021-03-28,DrugC,West,831,25671,53184
2021-03-29,DrugC,South,61,38705,3660
2021-03-30,DrugA,South,449,33790,26491
2021-03-31,DrugB,South,322,14924,37352
2021-04-01,DrugC,North,54,13440,3942
2021-04-02,DrugC,West,486,17126,61722
2021-04-03,DrugA,East,820,42259,100040
2021-04-04,DrugC,North,738,36396,78228
2021-04-05,DrugA,North,638,8710,74008
2021-04-06,DrugC,South,72,3144,7560
2021-04-07,DrugC,North,251,43208,32379
2021-04-08,DrugB,West,52,31446,3380
2021-04-09,DrugC,South,451,41853,15785
2021-04-10,DrugC,West,120,36379,14640
2021-04-11,DrugC,North,916,30414,68700
2021-04-12,DrugA,East,233,42087,18407
2021-04-13,DrugB,East,268,13409,37520
2021-04-14,DrugC,West,204,23100,10608
2021-04-15,DrugA,North,316,4857,30336
2021-04-16,DrugA,South,660,27626,72600
2021-04-17,DrugB,East,773,14222,96625
2021-04-18,DrugB,North,804,7926,112560
2021-04-19,DrugB,South,710,17414,66740
2021-04-20,DrugA,South,628,14309,47728
2021-04-21,DrugB,West,82,22112,11890
2021-04-22,DrugB,South,926,46299,76858
2021-04-23,DrugC,West,184,37829,15272
2021-04-24,DrugC,West,513,9536,69768
2021-04-25,DrugA,East,158,43239,18170
2021-04-26,DrugB,West,578,40386,76874
2021-04-27,DrugB,North,192,46230,13056
2021-04-28,DrugC,South,292,34328,21608
2021-04-29,DrugB,East,771,16226,100230
2021-04-30,DrugA,South,682,40558,79112
2021-05-01,DrugB,West,216,1811,11016
2021-05-02,DrugB,South,272,13373,38080
2021-05-03,DrugC,West,83,22320,7138
2021-05-04,DrugA,North,106,28096,11872
2021-05-05,DrugB,East,915,23969,125355
2021-05-06,DrugC,East,499,30000,36427
2021-05-07,DrugB,North,352,24221,24288
2021-05-08,DrugA,West,587,49310,79245
2021-05-09,DrugA,South,333,19190,47952
2021-05-10,DrugA,East,538,33620,44654
2021-05-11,DrugC,West,488,41706,52216
2021-05-12,DrugA,East,147,15541,5145
2021-05-13,DrugA,North,291,6086,36957
2021-05-14,DrugA,North,110,19118,5170
2021-05-15,DrugC,South,251,24157,11044
2021-05-16,DrugB,West,457,45461,47528
2021-05-17,DrugA,South,249,23707,35856
2021-05-18,DrugA,East,637,33145,43953
2021-05-19,DrugA,South,924,9392,97020
2021-05-20,DrugA,East,853,47653,55445
2021-05-21,DrugC,North,236,17121,8968
2021-05-22,DrugC,West,156,16387,21684
2021-05-23,DrugB,North,304,12461,31920
2021-05-24,DrugB,West,841,18467,76531
2021-05-25,DrugA,West,51,23692,2499
2021-05-26,DrugA,East,354,12749,52746
2021-05-27,DrugC,East,610,37805,31720
