doctor_id,specialization,region,patients_seen,prescriptions,sales_generated,engagement_score
0,Cardiology,North,76,760,19832,68
1,Oncology,East,995,297,78333,46
2,General,East,560,889,68949,48
3,General,East,730,281,30644,40
4,Cardiology,North,754,656,24623,4
5,General,North,707,22,92945,7
6,Cardiology,East,80,885,85212,28
7,Oncology,South,562,30,37771,88
8,Oncology,North,629,476,70232,51
9,Oncology,East,264,146,95438,98
10,General,East,412,688,37339,70
11,Cardiology,South,236,237,47271,35
12,Oncology,South,906,206,20505,12
13,Cardiology,East,606,576,51861,79
14,Cardiology,West,887,31,83353,96
15,Oncology,North,540,615,14339,49
16,General,East,188,668,37302,40
17,General,East,413,463,4002,32
18,Oncology,West,694,435,2034,43
19,Cardiology,South,756,711,47924,69
20,Cardiology,West,79,60,15803,42
21,Oncology,North,342,745,44154,30
22,General,East,360,194,90571,58
23,Cardiology,West,515,337,19094,56
24,Cardiology,West,435,646,42030,85
25,Cardiology,South,833,689,52844,37
26,General,West,939,627,74419,93
27,Oncology,South,475,430,4605,83
28,General,South,832,429,55496,57
29,Oncology,North,945,357,52526,61
30,Oncology,East,924,546,7439,39
31,Cardiology,South,214,242,96883,51
32,Oncology,South,822,45,81041,72
33,General,North,108,229,34602,83
34,Cardiology,West,496,243,1192,32
35,General,South,736,800,41097,46
36,Cardiology,East,817,26,24246,89
37,General,West,824,353,90249,47
38,Oncology,North,274,60,26952,33
39,Oncology,East,886,357,11082,60
40,General,West,69,893,83974,80
41,General,West,243,761,93950,30
42,Cardiology,East,891,195,6899,30
43,Cardiology,North,785,514,87760,76
44,Oncology,East,339,333,13095,12
45,General,North,980,609,73701,94
46,Cardiology,South,77,39,82331,10
47,Oncology,West,390,32,60596,40
48,General,South,256,115,49824,84
49,Cardiology,North,938,822,14190,56
50,Cardiology,South,741,360,81315,70
51,General,North,682,221,35856,9
52,Cardiology,West,905,121,2540,29
53,Cardiology,South,907,456,64090,76
54,General,West,541,542,2117,24
55,Cardiology,West,317,865,5504,87
56,General,East,827,404,57443,93
57,General,West,585,109,64535,85
58,General,South,181,151,65286,57
59,Oncology,West,517,90,67569,19
60,General,West,717,802,56779,4
61,Oncology,South,432,427,36962,66
62,General,East,329,364,23858,68
63,Cardiology,South,603,51,83212,79
64,Cardiology,West,562,737,6133,68
65,Oncology,West,391,36,89351,23
66,Cardiology,South,568,351,27734,75
67,General,West,551,811,2170,27
68,General,East,928,139,1728,60
69,Oncology,East,583,236,22988,35
70,Cardiology,South,686,720,45753,7
